,class,pred
0,DSCT,DSCT
1,DSCT,DSCT
2,CEP,CEP
3,RRc,RRc
4,DSCT,DSCT
5,DSCT,DSCT
6,DSCT,DSCT
7,RRc,RRc
8,DSCT,DSCT
9,RR,RR
10,RRc,CEP
11,RR,RR
12,RR,RR
13,CEP,CEP
14,CEP,CEP
15,CEP,CEP
16,DSCT,DSCT
17,CEP,CEP
18,DSCT,DSCT
19,CEP,CEP
20,DSCT,DSCT
21,DSCT,DSCT
22,DSCT,DSCT
23,RR,CEP
24,DSCT,DSCT
25,CEP,CEP
26,DSCT,DSCT
27,RR,RR
28,DSCT,DSCT
29,RRc,RRc
30,DSCT,DSCT
31,CEP,CEP
32,RR,RR
33,CEP,CEP
34,CEP,CEP
35,DSCT,DSCT
36,CEP,CEP
37,RRc,CEP
38,CEP,CEP
39,RRc,RRc
40,CEP,CEP
41,DSCT,DSCT
42,CEP,CEP
43,CEP,CEP
44,RRc,RRc
45,RR,CEP
46,RRc,CEP
47,RRc,RRc
48,RRc,RRc
49,RRc,CEP
50,CEP,CEP
51,DSCT,DSCT
52,RRc,RRc
53,DSCT,DSCT
54,DSCT,DSCT
55,CEP,CEP
56,RRc,RRc
57,CEP,CEP
58,CEP,CEP
59,RRc,CEP
60,DSCT,DSCT
61,RR,CEP
62,DSCT,DSCT
63,RR,RR
64,CEP,CEP
65,CEP,CEP
66,DSCT,DSCT
67,RR,RR
68,CEP,CEP
69,RR,RRc
70,RR,RR
71,RRc,RRc
72,RRc,RRc
73,DSCT,DSCT
74,RRc,RRc
75,RRc,RRc
76,DSCT,DSCT
77,CEP,CEP
78,CEP,CEP
79,RR,CEP
80,RRc,RRc
81,RR,RR
82,DSCT,DSCT
83,CEP,CEP
84,DSCT,DSCT
85,DSCT,DSCT
86,CEP,CEP
87,DSCT,DSCT
88,CEP,CEP
89,RR,RR
90,RRc,RRc
91,DSCT,DSCT
92,RRc,RRc
93,RRc,RRc
94,RRc,RRc
95,RRc,CEP
96,RR,RR
97,DSCT,DSCT
98,RRc,CEP
99,DSCT,CEP
100,CEP,CEP
101,RR,RRc
102,RRc,RRc
103,RRc,RRc
104,CEP,CEP
105,RRc,RRc
106,CEP,CEP
107,CEP,CEP
108,RR,RR
109,RR,RRc
110,RR,RR
111,CEP,CEP
112,DSCT,DSCT
113,CEP,CEP
114,DSCT,DSCT
115,RRc,RRc
116,CEP,CEP
117,RRc,RRc
118,DSCT,CEP
119,CEP,CEP
120,CEP,CEP
121,RR,RR
122,DSCT,DSCT
123,CEP,CEP
124,RRc,RRc
125,DSCT,DSCT
126,CEP,CEP
127,CEP,CEP
128,CEP,CEP
129,DSCT,DSCT
130,RRc,RRc
131,DSCT,DSCT
132,DSCT,DSCT
133,CEP,CEP
134,DSCT,DSCT
135,DSCT,DSCT
136,CEP,CEP
137,CEP,CEP
138,DSCT,DSCT
139,RR,RR
140,CEP,CEP
141,RR,RR
142,RRc,RRc
143,RRc,RRc
144,RRc,CEP
145,RR,CEP
146,RRc,RRc
147,RR,RR
148,CEP,CEP
149,CEP,CEP
150,RR,RR
